,actual,nonevsnone,nonevsmatch,nonevssilver,matchvsnone,matchvsmatch,matchvssilver,silvervsnone,silvervsmatch,silvervssilver,sp
1,236,235.988,235.984,235.984,-133.764,-142.543,-112.317,2.985,4.577,-129.326,vm
2,153,152.356,152.352,152.353,347.345,362.236,298.526,3.123,4.142,5.541,vm
3,0.099,0.099,0.099,0.099,-0.061,-0.071,-0.049,0.001,0.002,-0.064,vm
4,0.082,0.082,0.082,0.082,0.166,0.121,0.152,0.001,0.002,0.003,vm
5,0.083,0.083,0.083,0.083,-0.022,-0.002,-0.031,-0.001,0,-0.003,vm
6,0.002,0.002,0.002,0.002,0.069,0.3,0.023,-0.001,-0.001,-0.001,vm
7,NA,100,100,100,9.048,13.645,15.656,18.642,13.859,9.262,vm
8,924,922.858,864.887,787.385,922.734,661.113,917.922,922.971,771.537,736.803,vo
9,1127,1126.929,1946.97,1027.123,1126.62,1540.9,1123.236,1127.115,1217.719,934.965,vo
10,0.456,0.455,0.296,0.296,0.455,0.231,0.412,0.455,0.316,0.264,vo
11,0.515,0.514,1.353,0.345,0.514,0.959,0.469,0.515,0.635,0.322,vo
12,0.302,0.302,0.301,0.27,0.302,0.224,0.296,0.302,0.253,0.248,vo
13,0.574,0.575,0.86,0.531,0.575,0.729,0.554,0.575,0.601,0.47,vo
14,NA,100,83.083,87.369,100,70.102,87.304,100,80.54,76.213,vo
